ID_Jogo,Data,Hora,Estádio,Time_One_ID,Gols_Time_One,Time_Two_ID,Gols_Time_Two,Vencedor_ID,Fase,Grupo
100,14/06/2025,21:00,"Hard Rock Stadium, Miami",32,0,15,0,,Fase de Grupos,A
101,15/06/2025,13:00,"TQL Stadium, Cincinnati",4,10,29,0,4,Fase de Grupos,C
102,15/06/2025,16:00,"Rose Bowl Stadium, Los Angeles",2,4,5,0,2,Fase de Grupos,B
103,15/06/2025,19:00,"MetLife Stadium, New York",11,0,18,0,,Fase de Grupos,A
104,15/06/2025,23:00,"Lumen Field , Seattle",27,2,7,1,27,Fase de Grupos,B
105,16/06/2025,16:00,"Mercedes-Benz Stadium, Atlanta",21,2,13,0,21,Fase de Grupos,D
106,16/06/2025,19:00,"Hard Rock Stadium, Miami",26,2,6,2,,Fase de Grupos,C
107,16/06/2025,22:00,"Lincoln Financial Field, Philadelphia",22,2,20,0,22,Fase de Grupos,D
108,17/06/2025,13:00,"MetLife Stadium, New York",16,0,28,0,,Fase de Grupos,F
109,17/06/2025,16:00,"Lumen Field , Seattle",25,0,9,0,,Fase de Grupos,E
110,17/06/2025,20:05,"Inter&Co Stadium, Orlando",8,0,12,1,12,Fase de Grupos,F
111,17/06/2025,22:00,"Rose Bowl Stadium, Los Angeles",24,1,19,1,,Fase de Grupos,E
112,18/06/2025,13:00,"Lincoln Financial Field, Philadelphia",3,2,10,0,3,Fase de Grupos,G
113,18/06/2025,16:00,"Hard Rock Stadium, Miami",1,1,30,1,,Fase de Grupos,H
114,18/06/2025,19:00,"TQL Stadium, Cincinnati",23,1,17,2,17,Fase de Grupos,H
115,18/06/2025,22:00,"Audi Field, Washington D.C.",31,0,14,5,14,Fase de Grupos,G
116,19/06/2025,13:00,"MetLife Stadium, New York",11,2,32,0,11,Fase de Grupos,A
117,19/06/2025,16:00,"Mercedes-Benz Stadium, Atlanta",15,2,18,1,15,Fase de Grupos,A
118,19/06/2025,19:00,"Lumen Field , Seattle",7,1,5,3,5,Fase de Grupos,B
119,19/06/2025,22:00,"Rose Bowl Stadium, Los Angeles",2,0,27,1,27,Fase de Grupos,B
120,20/06/2025,13:00,"Inter&Co Stadium, Orlando",6,6,29,0,6,Fase de Grupos,C
121,20/06/2025,15:00,"Lincoln Financial Field, Philadelphia",22,3,21,1,22,Fase de Grupos,D
122,20/06/2025,19:00,"GEODIS Park, Nashville",13,0,20,1,20,Fase de Grupos,D
123,20/06/2025,22:00,"Hard Rock Stadium, Miami",4,2,26,1,4,Fase de Grupos,C
124,21/06/2025,13:00,"TQL Stadium, Cincinnati",12,3,28,4,28,Fase de Grupos,F
125,21/06/2025,16:00,"Lumen Field , Seattle",19,2,9,1,19,Fase de Grupos,E
126,21/06/2025,19:00,"MetLife Stadium, New York",16,4,8,2,16,Fase de Grupos,F
127,21/06/2025,22:00,"Rose Bowl Stadium, Los Angeles",25,0,24,0,,Fase de Grupos,E
128,22/06/2025,13:00,"Lincoln Financial Field, Philadelphia",14,4,10,1,14,Fase de Grupos,G
129,22/06/2025,16:00,"Bank of America Stadium, Charlotte",1,3,23,1,1,Fase de Grupos,H
130,22/06/2025,19:00,"Audi Field, Washington D.C.",17,0,30,0,,Fase de Grupos,H
131,22/06/2025,22:00,"Mercedes-Benz Stadium, Atlanta",3,6,31,0,3,Fase de Grupos,G
132,23/06/2025,16:00,"Lumen Field , Seattle",7,0,2,2,2,Fase de Grupos,B
133,23/06/2025,16:00,"Rose Bowl Stadium, Los Angeles",5,1,27,0,5,Fase de Grupos,B
134,23/06/2025,22:00,"Hard Rock Stadium, Miami",15,2,11,2,,Fase de Grupos,A
135,23/06/2025,22:00,"MetLife Stadium, New York",18,4,32,4,,Fase de Grupos,A
136,24/06/2025,16:00,"GEODIS Park, Nashville",29,1,26,1,,Fase de Grupos,C
137,24/06/2025,16:00,"Bank of America Stadium, Charlotte",6,1,4,0,6,Fase de Grupos,C
138,24/06/2025,22:00,"Camping World Stadium, Orlando",13,1,22,1,,Fase de Grupos,D
139,24/06/2025,22:00,"Lincoln Financial Field, Philadelphia",20,0,21,3,21,Fase de Grupos,D
140,25/06/2025,16:00,"TQL Stadium, Cincinnati",28,1,8,0,28,Fase de Grupos,F
141,25/06/2025,16:00,"Hard Rock Stadium, Miami",12,0,16,0,,Fase de Grupos,F
142,25/06/2025,22:00,"Lumen Field , Seattle",19,2,25,0,19,Fase de Grupos,E
143,25/06/2025,22:00,"Rose Bowl Stadium, Los Angeles",9,0,24,4,24,Fase de Grupos,E
144,26/06/2025,16:00,"Camping World Stadium, Orlando",14,2,3,5,3,Fase de Grupos,G
145,26/06/2025,16:00,"Audi Field, Washington D.C.",10,1,31,2,31,Fase de Grupos,G
146,26/06/2025,22:00,"GEODIS Park, Nashville",30,2,23,0,30,Fase de Grupos,H
147,26/06/2025,22:00,"Lincoln Financial Field, Philadelphia",17,0,1,3,1,Fase de Grupos,H
148,28/06/2025,13:00,"Lincoln Financial Field, Philadelphia",11,1,27,0,11,Oitavas de final,
149,28/06/2025,17:00,"Bank of America Stadium, Charlotte",6,1,21,4,21,Oitavas de final,
150,29/06/2025,13:00,"Mercedes-Benz Stadium, Atlanta",2,4,15,0,2,Oitavas de final,
151,29/06/2025,17:00,"Hard Rock Stadium, Miami",22,2,4,4,4,Oitavas de final,
152,30/06/2025,16:00,"Bank of America Stadium, Charlotte",19,0,16,2,16,Oitavas de final,
153,30/06/2025,22:00,"Camping World Stadium, Orlando",3,3,30,4,30,Oitavas de final,
154,01/07/2025,16:00,"Hard Rock Stadium, Miami",1,1,14,0,1,Oitavas de final,
155,01/07/2025,22:00,"Mercedes-Benz Stadium, Atlanta",28,2,24,1,28,Oitavas de final,
156,04/07/2025,16:00,"Camping World Stadium, Orlando",16,2,30,1,16,Quartas de final,
157,04/07/2025,22:00,"Lincoln Financial Field, Philadelphia",11,1,21,2,21,Quartas de final,
158,05/07/2025,13:00,"Mercedes-Benz Stadium, Atlanta",2,2,4,0,2,Quartas de final,
159,05/07/2025,17:00,"MetLife Stadium, New York",1,3,28,2,1,Quartas de final,
160,08/07/2025,16:00,"MetLife Stadium, New York",16,0,21,2,21,Semifinal,
161,09/07/2025,16:10,"MetLife Stadium, New York",2,4,1,0,2,Semifinal,
162,13/7/2025,16:00,"MetLife Stadium, New York",21,3,2,0,21,Final,
